Datetime,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker BUY base asset volume,Taker BUY quote asset volume,Ignore
1606655520.0,551.86000000,552.50000000,551.67000000,552.20000000,466.06771000,1606655579999,257282.71117150,199,325.88556000,179894.73179580,0
1606655580.0,552.24000000,552.31000000,551.71000000,552.13000000,216.30065000,1606655639999,119407.39941810,171,123.47901000,68160.93218030,0
1606655640.0,552.13000000,552.33000000,551.87000000,552.18000000,200.34906000,1606655699999,110628.63310030,161,90.97168000,50233.05471040,0
1606655700.0,552.18000000,552.18000000,551.85000000,552.12000000,148.57689000,1606655759999,82014.69216550,177,75.95547000,41924.65387280,0
1606655760.0,552.11000000,552.15000000,551.23000000,551.46000000,907.08220000,1606655819999,500383.60229820,425,275.42881000,151921.88895070,0
1606655820.0,551.45000000,551.97000000,551.26000000,551.97000000,373.50866000,1606655879999,206051.41735350,240,276.69645000,152658.33711880,0
1606655880.0,551.95000000,552.50000000,551.79000000,552.17000000,377.64284000,1606655939999,208526.32228890,236,214.44970000,118414.73580550,0
1606655940.0,552.22000000,552.50000000,552.14000000,552.14000000,216.33048000,1606655999999,119491.28030140,210,145.58856000,80416.05647410,0
1606656000.0,552.14000000,552.49000000,552.09000000,552.38000000,208.57344000,1606656059999,115194.59424040,183,96.45582000,53271.82305800,0
1606656060.0,552.39000000,553.30000000,552.19000000,552.99000000,1149.86745000,1606656119999,635741.31325480,528,826.07618000,456750.23465160,0
1606656120.0,553.00000000,553.46000000,552.68000000,553.35000000,271.18130000,1606656179999,149988.75980380,286,156.87964000,86761.59947600,0
1606656180.0,553.35000000,554.50000000,553.29000000,554.29000000,883.55416000,1606656239999,489528.18607710,652,531.12235000,294251.34898960,0
1606656240.0,554.23000000,554.47000000,553.71000000,554.00000000,543.63521000,1606656299999,301168.22947370,275,177.81115000,98514.00654030,0
1606656300.0,554.00000000,554.13000000,553.36000000,553.36000000,509.97723000,1606656359999,282432.43142020,293,185.93638000,102986.69686820,0
1606656360.0,553.36000000,553.36000000,552.40000000,552.52000000,818.05357000,1606656419999,452346.64936620,350,332.72360000,183962.17652690,0
1606656420.0,552.56000000,553.21000000,552.52000000,552.62000000,686.68189000,1606656479999,379706.13450780,290,392.64171000,217105.20240490,0
1606656480.0,552.65000000,552.92000000,552.36000000,552.58000000,605.91526000,1606656539999,334795.37888100,250,492.85952000,272327.18691100,0
1606656540.0,552.58000000,553.03000000,552.58000000,552.62000000,475.35478000,1606656599999,262824.63282570,217,300.01784000,165889.39977240,0
1606656600.0,552.61000000,552.62000000,552.00000000,552.16000000,453.30546000,1606656659999,250297.16521490,253,250.37962000,138243.48777370,0
1606656660.0,552.10000000,552.70000000,551.64000000,552.08000000,537.68601000,1606656719999,296852.92122380,333,205.30885000,113372.03663090,0
1606656720.0,551.97000000,552.06000000,551.61000000,551.83000000,472.90310000,1606656779999,260914.63856110,241,114.96699000,63437.01479130,0
1606656780.0,551.87000000,552.76000000,551.87000000,552.11000000,326.83103000,1606656839999,180523.55753590,245,186.70944000,103108.00527900,0
1606656840.0,552.10000000,552.47000000,551.49000000,552.05000000,557.04188000,1606656899999,307475.45026400,303,284.38974000,156987.20926800,0
1606656900.0,552.05000000,552.81000000,552.04000000,552.63000000,181.63335000,1606656959999,100339.65053070,191,93.72978000,51776.56079250,0
1606656960.0,552.65000000,552.81000000,552.51000000,552.70000000,487.67999000,1606657019999,269528.10903830,240,208.00934000,114975.16287330,0
1606657020.0,552.76000000,552.76000000,551.98000000,551.98000000,342.20977000,1606657079999,188995.05838250,197,263.75140000,145647.98450080,0
1606657080.0,551.97000000,552.00000000,551.59000000,551.90000000,313.51265000,1606657139999,173009.12543450,241,165.40600000,91280.30451290,0
1606657140.0,551.93000000,551.97000000,551.03000000,551.22000000,487.79634000,1606657199999,268979.71593080,327,112.72975000,62183.18855970,0
1606657200.0,551.16000000,552.45000000,551.16000000,552.45000000,512.40552000,1606657259999,282765.32959290,257,341.35231000,188331.06823820,0
