Datetime,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker BUY base asset volume,Taker BUY quote asset volume,Ignore
1606655520.0,0.61717000,0.61816000,0.61623000,0.61765000,269126.10000000,1606655579999,166127.62809400,230,144248.70000000,89044.73653800,0
1606655580.0,0.61767000,0.61767000,0.61604000,0.61739000,486111.10000000,1606655639999,299800.74678100,291,274287.30000000,169145.19524700,0
1606655640.0,0.61750000,0.61823000,0.61683000,0.61783000,890474.30000000,1606655699999,550054.26595600,318,674665.60000000,416776.26801100,0
1606655700.0,0.61784000,0.61784000,0.61665000,0.61706000,162387.10000000,1606655759999,100218.40928200,154,106331.50000000,65622.02267100,0
1606655760.0,0.61694000,0.61760000,0.61568000,0.61706000,737131.50000000,1606655819999,454638.49211500,545,340618.30000000,210083.74248700,0
1606655820.0,0.61702000,0.61862000,0.61635000,0.61844000,476031.10000000,1606655879999,294017.44071500,398,242524.90000000,149764.73461100,0
1606655880.0,0.61846000,0.62061000,0.61773000,0.61980000,784331.00000000,1606655939999,485738.35706600,603,470409.50000000,291336.59244700,0
1606655940.0,0.61980000,0.62081000,0.61923000,0.61933000,328272.80000000,1606655999999,203614.05988400,346,191529.40000000,118791.39107800,0
1606656000.0,0.61933000,0.61998000,0.61875000,0.61952000,431834.90000000,1606656059999,267496.41897200,284,198233.50000000,122798.87428000,0
1606656060.0,0.61967000,0.62100000,0.61926000,0.62059000,1640743.20000000,1606656119999,1017499.88285900,637,1287795.60000000,798497.31643900,0
1606656120.0,0.62053000,0.62150000,0.62000000,0.62148000,561007.10000000,1606656179999,348241.10892800,387,378758.90000000,235131.39938200,0
1606656180.0,0.62148000,0.62350000,0.62123000,0.62330000,671091.20000000,1606656239999,417782.01302500,819,395082.20000000,245963.57553000,0
1606656240.0,0.62335000,0.62350000,0.62199000,0.62241000,585806.40000000,1606656299999,364748.57851800,424,260997.00000000,162505.63215900,0
1606656300.0,0.62224000,0.62250000,0.62033000,0.62043000,451835.30000000,1606656359999,280922.03175700,370,214001.30000000,133078.23041700,0
1606656360.0,0.62042000,0.62056000,0.61924000,0.61941000,235893.60000000,1606656419999,146204.87036800,345,89914.20000000,55726.28934300,0
1606656420.0,0.61947000,0.62099000,0.61900000,0.61971000,422263.70000000,1606656479999,261860.67364800,273,215018.50000000,133334.21894700,0
1606656480.0,0.61971000,0.62020000,0.61900000,0.61962000,206369.80000000,1606656539999,127832.22496900,208,121022.40000000,74959.87266900,0
1606656540.0,0.61970000,0.62047000,0.61835000,0.61844000,353870.10000000,1606656599999,219217.15578000,284,83325.20000000,51618.56290200,0
1606656600.0,0.61843000,0.61843000,0.61646000,0.61696000,341583.20000000,1606656659999,210805.34790300,401,120712.50000000,74522.76124700,0
1606656660.0,0.61702000,0.61838000,0.61620000,0.61752000,576832.50000000,1606656719999,356122.74561700,380,184525.80000000,113931.19311100,0
1606656720.0,0.61763000,0.61845000,0.61709000,0.61845000,181277.80000000,1606656779999,111950.33257100,202,122542.00000000,75682.46503900,0
1606656780.0,0.61832000,0.61998000,0.61762000,0.61816000,402501.60000000,1606656839999,249062.28359200,256,161874.00000000,100105.94582900,0
1606656840.0,0.61816000,0.61905000,0.61718000,0.61820000,562656.60000000,1606656899999,347714.47705700,354,294632.40000000,182086.60182700,0
